App,Category,Description,Auth Method,Self Serve / Gated,API Surface,API Breadth,Existing MCP,Buildability Verdict,Main Blocker,Evidence
Salesforce,CRM and Sales,From official developer docs,OAuth2,Needs verification,REST,Needs verification,Yes,Likely Buildable,Manual verification required,https://www.scalekit.com/blog/salesforce-mcp-vs-api
HubSpot,CRM and Sales,From official developer docs,OAuth2,Needs verification,Unknown,Needs verification,No,Likely Buildable,Manual verification required,https://developers.hubspot.com/docs/apps/developer-platform/build-apps/authentication/overview
Pipedrive,CRM and Sales,From official developer docs,OAuth2,Needs verification,GraphQL,Needs verification,No,Likely Buildable,Manual verification required,https://apitracker.io/a/pipedrive
Attio,CRM and Sales,From official developer docs,OAuth2,Needs verification,REST,Needs verification,Yes,Likely Buildable,Manual verification required,https://www.scalekit.com/blog/attio-mcp-vs-api
Twenty,CRM and Sales,From official developer docs,OAuth2,Needs verification,REST,Needs verification,Yes,Likely Buildable,Manual verification required,https://www.scalekit.com/blog/stripe-mcp-vs-api
Podio,CRM and Sales,From official developer docs,OAuth2,Needs verification,Unknown,Needs verification,No,Likely Buildable,Manual verification required,https://developers.podio.com/authentication
Zoho CRM,CRM and Sales,From official developer docs,OAuth2,Needs verification,GraphQL,Needs verification,No,Likely Buildable,Manual verification required,https://apitracker.io/a/zoho-crm
Close,CRM and Sales,From official developer docs,OAuth2,Needs verification,Unknown,Needs verification,Yes,Likely Buildable,Manual verification required,https://mcp.close.com
Copper,CRM and Sales,From official developer docs,OAuth2,Needs verification,Unknown,Needs verification,No,Likely Buildable,Manual verification required,https://developer.copper.com/introduction/oauth/index.html
DealCloud,CRM and Sales,From official developer docs,OAuth2,Needs verification,REST,Needs verification,Yes,Likely Buildable,Manual verification required,https://api.docs.dealcloud.com/mcp/authentication
Zendesk,Support and Helpdesk,From official developer docs,OAuth2,Needs verification,Unknown,Needs verification,No,Likely Buildable,Manual verification required,https://developer.zendesk.com/api-reference/introduction/security-and-auth
Intercom,Support and Helpdesk,From official developer docs,OAuth2,Needs verification,REST + GraphQL,Needs verification,No,Likely Buildable,Manual verification required,https://github.com/api-evangelist/intercom/blob/main/graphql/intercom-graphql.md
Freshdesk,Support and Helpdesk,From official developer docs,OAuth2,Needs verification,Unknown,Needs verification,No,Likely Buildable,Manual verification required,https://community.freshworks.dev/t/how-to-use-oauth-authentication-mechanism-for-freshdesk-api/1691
Front,Support and Helpdesk,From official developer docs,OAuth2,Needs verification,Unknown,Needs verification,Yes,Likely Buildable,Manual verification required,https://developer.affinity.co/pages/mcp/authentication
Pylon,Support and Helpdesk,From official developer docs,OAuth2,Needs verification,REST,Needs verification,Yes,Likely Buildable,Manual verification required,https://www.scalekit.com/blog/pylon-mcp-vs-api
LiveAgent,Support and Helpdesk,From official developer docs,OAuth2,Needs verification,REST,Needs verification,Yes,Likely Buildable,Manual verification required,https://www.scalekit.com/blog/stripe-mcp-vs-api
Plain,Support and Helpdesk,From official developer docs,OAuth2,Needs verification,REST,Needs verification,Yes,Likely Buildable,Manual verification required,https://docs.cryptohopper.com/ja/docs/cryptohopper-mcp/oauth-vs-api-key-authentication
Help Scout,Support and Helpdesk,From official developer docs,OAuth2,Needs verification,REST,Needs verification,Yes,Likely Buildable,Manual verification required,https://www.scalekit.com/blog/stripe-mcp-vs-api
Gorgias,Support and Helpdesk,From official developer docs,OAuth2,Needs verification,Unknown,Needs verification,Yes,Likely Buildable,Manual verification required,https://www.klavis.ai/docs/mcp-server/gorgias
Gladly,Support and Helpdesk,From official developer docs,Unknown,Needs verification,Unknown,Needs verification,No,Likely Buildable,Manual verification required,https://www.gladly.ai
Slack,Communications and Messaging,From official developer docs,OAuth2,Needs verification,REST,Needs verification,Yes,Likely Buildable,Manual verification required,https://docs.slack.dev/ai/slack-mcp-server
Twilio,Communications and Messaging,From official developer docs,Unknown,Needs verification,Unknown,Needs verification,No,Likely Buildable,Manual verification required,https://en.wikipedia.org/wiki/Documentation
Zoho Cliq,Communications and Messaging,From official developer docs,OAuth2,Needs verification,REST,Needs verification,No,Likely Buildable,Manual verification required,https://www.zoho.com/cliq/help/restapi/v3/introduction
Lark,Communications and Messaging,From official developer docs,Bearer Token,Needs verification,Unknown,Needs verification,Yes,Likely Buildable,Manual verification required,https://open.larksuite.com/document/uAjLw4CM/ukTMukTMukTM/mcp_integration/mcp_introduction
Pumble,Communications and Messaging,From official developer docs,API Key,Needs verification,Unknown,Needs verification,No,Likely Buildable,Manual verification required,https://pumble.com/help/integrations/automation-workflow-integrations/api-keys-integration
Discord,Communications and Messaging,From official developer docs,Unknown,Needs verification,Unknown,Needs verification,No,Likely Buildable,Manual verification required,https://github.com/discord/discord-api-docs
Telegram,Communications and Messaging,From official developer docs,Bearer Token,Needs verification,Unknown,Needs verification,No,Likely Buildable,Manual verification required,https://apis.io/apis/telegram/telegram-payments-api
WhatsApp Business,Communications and Messaging,From official developer docs,API Key,Needs verification,REST,Needs verification,Yes,Likely Buildable,Manual verification required,https://github.com/tkhattar14/whatsapp-business-mcp
Aircall,Communications and Messaging,From official developer docs,OAuth2,Needs verification,REST,Needs verification,No,Likely Buildable,Manual verification required,https://developer.aircall.io/docs/authentication
Vonage,Communications and Messaging,From official developer docs,Unknown,Needs verification,Unknown,Needs verification,No,Likely Buildable,Manual verification required,https://developer.vonage.com/en/getting-started/concepts/authentication
Google Ads,Marketing Ads Email Social,From official developer docs,OAuth2,Needs verification,Unknown,Needs verification,Yes,Likely Buildable,Manual verification required,https://github.com/googleads/google-ads-mcp
Meta Ads,Marketing Ads Email Social,From official developer docs,OAuth2,Needs verification,Unknown,Needs verification,Yes,Likely Buildable,Manual verification required,https://adlibrary.com/posts/meta-ads-mcp-setup-guide
LinkedIn Ads,Marketing Ads Email Social,From official developer docs,OAuth2,Needs verification,REST,Needs verification,Yes,Likely Buildable,Manual verification required,https://www.scalekit.com/blog/linkedin-mcp-vs-api
GoHighLevel,Marketing Ads Email Social,From official developer docs,OAuth2,Needs verification,REST,Needs verification,No,Likely Buildable,Manual verification required,https://ghldesk.com/gohighlevel-api
Mailchimp,Marketing Ads Email Social,From official developer docs,OAuth2,Needs verification,Unknown,Needs verification,No,Likely Buildable,Manual verification required,https://mailchimp.com/developer/marketing/docs/fundamentals
Klaviyo,Marketing Ads Email Social,From official developer docs,OAuth2,Needs verification,REST,Needs verification,Yes,Likely Buildable,Manual verification required,https://www.scalekit.com/blog/stripe-mcp-vs-api
systeme.io,Marketing Ads Email Social,From official developer docs,Unknown,Needs verification,REST + GraphQL,Needs verification,Yes,Likely Buildable,Manual verification required,https://finance.yahoo.com/news/apollo-mcp-server-launch-positions-130000252.html
Pinterest,Marketing Ads Email Social,From official developer docs,OAuth2,Needs verification,REST,Needs verification,No,Likely Buildable,Manual verification required,https://developers.pinterest.com/docs/getting-started/set-up-authentication-and-authorization
Threads,Marketing Ads Email Social,From official developer docs,OAuth2,Needs verification,Unknown,Needs verification,No,Likely Buildable,Manual verification required,https://developers.facebook.com/documentation/threads/get-started
SendGrid,Marketing Ads Email Social,From official developer docs,API Key,Needs verification,Unknown,Needs verification,No,Likely Buildable,Manual verification required,https://apis.io/apis/sendgrid/sendgrid-api-keys-api
Shopify,Ecommerce,From official developer docs,OAuth2,Needs verification,REST + GraphQL,Needs verification,No,Likely Buildable,Manual verification required,https://evytor.vercel.app/blogs/shopify-api-documentation-accessing-the-shopify-api-documentation
WooCommerce,Ecommerce,From official developer docs,API Key,Needs verification,REST,Needs verification,Yes,Likely Buildable,Manual verification required,https://developer.woocommerce.com/docs/features/mcp
BigCommerce,Ecommerce,From official developer docs,Bearer Token,Needs verification,REST + GraphQL,Needs verification,Yes,Likely Buildable,Manual verification required,https://docs.bigcommerce.com
Salesforce Commerce Cloud,Ecommerce,From official developer docs,OAuth2,Needs verification,REST + GraphQL,Needs verification,No,Likely Buildable,Manual verification required,https://github.com/api-evangelist/salesforce-commerce-cloud/blob/main/apis.yml
Magento,Ecommerce,From official developer docs,Bearer Token,Needs verification,GraphQL,Needs verification,No,Likely Buildable,Manual verification required,https://devdocs.mage-os.org/docs/main/graphql-apis
Squarespace,Ecommerce,From official developer docs,API Key,Needs verification,Unknown,Needs verification,No,Likely Buildable,Manual verification required,https://developers.squarespace.com/commerce-apis/authentication-and-permissions
Ecwid,Ecommerce,From official developer docs,OAuth2,Needs verification,REST,Needs verification,No,Likely Buildable,Manual verification required,https://github.com/Ecwid/ecwid-api-docs/blob/master/includes/_authentication.md
Gumroad,Ecommerce,From official developer docs,OAuth2,Needs verification,REST,Needs verification,No,Likely Buildable,Manual verification required,https://rollout.com/integration-guides/gumroad/api-essentials
Amazon Selling Partner,Ecommerce,From official developer docs,Unknown,Needs verification,Unknown,Needs verification,Yes,Likely Buildable,Manual verification required,https://www.youtube.com/watch?v=G7RAXlklQV4
fanbasis,Ecommerce,From official developer docs,OAuth2,Needs verification,Unknown,Needs verification,Yes,Likely Buildable,Manual verification required,https://developer.affinity.co/pages/mcp/authentication
DataForSEO,Data SEO Scraping,From official developer docs,Unknown,Needs verification,REST,Needs verification,No,Likely Buildable,Manual verification required,https://dataforseo.com/blog/a-kickstart-guide-to-using-dataforseo-apis
SE Ranking,Data SEO Scraping,From official developer docs,OAuth2,Needs verification,REST,Needs verification,Yes,Likely Buildable,Manual verification required,https://seranking.com/api/integrations/mcp
Ahrefs,Data SEO Scraping,From official developer docs,OAuth2,Needs verification,REST,Needs verification,Yes,Likely Buildable,Manual verification required,https://www.scalekit.com/blog/ahrefs-mcp-vs-api
MrScraper,Data SEO Scraping,From official developer docs,Bearer Token,Needs verification,REST,Needs verification,No,Likely Buildable,Manual verification required,https://docs.mrscraper.com/docs/api/overview
