App,Category,Website,Evidence,Doc Snippet
Salesforce,CRM and Sales,https://salesforce.com,https://www.scalekit.com/blog/salesforce-mcp-vs-api,"Auth is OAuth 2.0 + PKCE via External Client Apps (ECA) only. The required scopes are `mcp_api` and `refresh_token`. One critical constraint: you cannot use Connected Apps for MCP authentication. ECA is the only supported path.

MCP endpoint format: `

Official docs: `developer.salesforce.com/docs/platform/hosted-mcp-servers`

### Salesforce REST API (and the Broader API Surface) [...] Auth supports OAuth Authorization Code, JWT Bearer Grant (RFC 7523) for server-to-server with no interactive flow, and Connected App client credentials. Per-user delegation and service-account patterns both work.

API limits apply across all surfaces. Enterprise Edition defaults to 100K calls per day. Every call counts, including MCP tool calls.

Official docs: Salesforce Platform API Integration Guide on Trailhead

## Comparing Them Where It Matters for Agents

### Capability Coverage [...] Salesforce Hosted MCP is now GA and covers SObject CRUD, Flows, Invocable Apex, Apex REST, Data 360, and Tableau. "
HubSpot,CRM and Sales,https://hubspot.com,https://developers.hubspot.com/docs/apps/developer-platform/build-apps/authentication/overview,"### ​ OAuth

`Bearer`
`00000000-aaaa-xxx-yyyy-zzzzzzzzzzzz`
`curl --request GET \
--header ""Authorization: Bearer 00000000-aaaa-xxx-yyyy-zzzzzzzzzzzz"" \
--url ""
`type`
`auth`
`app-hsmeta.json`
`oauth`
`distribution`
`marketplace`
`private`
`marketplace`
`private`

### ​ Static auth

`curl --request GET \
--header ""Authorization: Bearer ------"" \
--url ""
`type`
`auth`
`app-hsmeta.json`
`static`
`distribution`
`private`

## ​ Developer API keys [...] `hapikey`
`appId`
`cURL`
`curl --request POST \
--url ""

## ​ Client credentials [...] `curl --location ' \
 --header 'Content-Type: application/x-www-form-urlencoded' \
 --data-urlencode 'grant_type=client_credentials' \
 --data-urlencode 'client_id=XXXXXXXX-XXXX-XXXX-XXXX-XXXXXXXXXXXX' \
 --data-urlencode 'client_secret=XXXXXXXX-XXXX-XXXX-XXXX-XXXXXXXXXXXX' \"
Pipedrive,CRM and Sales,https://pipedrive.com,https://apitracker.io/a/pipedrive,"## 2 APIs

### Pipedrive API

### CRM API

## SDKs & client libraries

### OFFICIAL client-nodejs Javascript 133 52

### OFFICIAL client-php PHP 10 10

### 4 SDKs

## Pipedrive API specifications & definitions

### OpenAPI spec

## Pipedrive API profile

API styles

Developer docs

API Reference

Webhooks

Webhooks management API

Sandbox environment

-

Authentication

Scopes

Identity protocols

-

SSO / Social login

OAuth playground

-

GraphQL playground

-

API Explorer

- [...] -

API Explorer

-

Postman / Insomnia collections

OpenAPI/Swagger specs

Free developer account

App listing requirements

Pagination style

-

CLI

-

Query Language

-

Community

GitHub

Custom object support

-

Stackoverflow tags

-

Integrations

Ecosystem

-

API pricing

-

API rate limits

-

API changelog

Status page

Open-source

-

Tutorials

-

Samples & examples

-

Base endpoint

-

GraphQL endpoint

-

IDE Extensions

-

Estimated developers

Estimated customers

95000 [...] Disclaimer:"
Attio,CRM and Sales,https://attio.com,https://www.scalekit.com/blog/attio-mcp-vs-api,"MCP auth is OAuth only and interactive. The REST API supports two bearer-token types: a workspace API key (non-interactive, good for single-workspace and background jobs) and per-user OAuth 2.0 (for multi-tenant products). Your credential model changes with the path. [...] Authentication is OAuth only. You log in with your Attio account, no API keys; the agent is authenticated as your Attio user, and access is bounded by that user's workspace permissions. Read operations are auto-approved, while write operations request user confirmation. Official reference: Attio MCP overview.

### Attio API [...] Authentication accepts any bearer token in the `Authorization` header. Two token types matter: a workspace API key generated under Workspace Settings, and a per-user OAuth 2.0 access token from the `Authorization Code` flow. Official reference: Attio REST API overview.

## Comparing them where it matters for agents

### What your agent can actually do"
Twenty,CRM and Sales,https://twenty.com,https://www.scalekit.com/blog/stripe-mcp-vs-api,"Connect is the second boundary. MCP authorizes a single account context, so platform onboarding and acting across many connected merchant accounts remain REST patterns. High-volume usage ingestion through the v2 Meter Event Stream is REST-only as well.

### The auth path each one puts you on

This is where Stripe diverges from Slack, Notion, and Salesforce. Their hosted MCP servers are OAuth-only. Stripe's is not.

Auth method

Stripe MCP

Stripe API

Interactive user OAuth

Yes (MCP spec) [...] Authentication is OAuth per the MCP specification for interactive clients. For autonomous agents, Stripe documents passing a restricted API key as a bearer token in the `Authorization` header. Administrators enable MCP access in the Dashboard, managed separately for sandbox and live mode. Official docs: `

### Stripe API [...] ### Stripe MCP

The Stripe MCP server is Stripe's official, hosted endpoint at ` with a local server also available as the `@stripe/mcp` package. It exposes tools for acc"
Podio,CRM and Sales,https://podio.com,https://developers.podio.com/authentication,"The Podio API uses the OAuth2 protocol for authentication. This allows external apps to request authorization to Podio without having direct access to the user's password. Our API supports different OAuth flows depending on what kind of integration you are making. [...] Podio

 Getting started
 Get an API key
 Authentication
  + Scopes & Permissions
  + Server-side flow
  + Client-side flow
  + Username & password flow
  + App authentication flow
 API Reference
 Tutorials
 Client Libraries
 Developer Forums
 Partner Extensions
 Terms of Use

# How to authenticate with Podio API [...] Before you can use the Podio API you must register your application. Your application is assigned a unique identifier, called ""Client ID"", together with a ""Client Secret"". You will need both of these to authenticate. The Client Secret should not be shared with anyone.

### Authentication flows

Podio supports four different ways of autheticating depending on what kind of application you are building:

Serv"
Zoho CRM,CRM and Sales,https://zoho.com/crm,https://apitracker.io/a/zoho-crm,"API styles

Developer docs

API Reference

Webhooks

Webhooks management API

Sandbox environment

-

Authentication

Identity protocols

-

SSO / Social login

OAuth playground

-

GraphQL playground

-

API Explorer

Postman / Insomnia collections

OpenAPI/Swagger specs

Free developer account

App listing requirements

Pagination style

-

CLI

-

Query Language

Community

-

GitHub

-

Custom object support

Stackoverflow tags

-

Integrations

Ecosystem

API pricing

-

API rate limits [...] -

API rate limits

-

API changelog

-

Status page

Open-source

-

Tutorials

-

Samples & examples

-

Base endpoint

-

GraphQL endpoint

-

IDE Extensions

-

Estimated developers

Estimated customers

150000

Estimated users

## Zoho CRM Videos

We don't have videos for this API yet. Get in touch to suggest profile updates.

## Zoho CRM API tips

We don't have tips for this API yet. Get in touch if you want to submit a tip.

## Zoho CRM screenshots

### Developer Portal"
Close,CRM and Sales,https://close.com,https://mcp.close.com,"We recommend accessing the MCP server via OAuth 2.0 using a supported MCP client (e.g. Claude, ChatGPT, Cursor, etc). If you prefer to interact with the MCP server using a custom setup, create an OAuth application to authenticate using OAuth 2.0 or authenticate using an API key and include the following headers in your request:

```

|  |

| Close-API-Key: {{ Your Close API Key }} |
| Close-Scope: {{ mcp.read, mcp.write_safe, or mcp.write_destructive }} |

``` [...] Any MCP client that supports HTTP Streamable transport can connect to Close’s MCP server at ` Use either OAuth 2.0 or API key authentication via the `Close-API-Key` and `Close-Scope` headers as described above.

## FAQs

### Does Close MCP support SSE?

We currently don’t support SSE, but please email support@close.com with your specific use case and MCP client details if this is something your team requires.

### What tools does the MCP server have access to? [...] 1. Once you’ve successfully connected the MCP server, star"
Copper,CRM and Sales,https://copper.com,https://developer.copper.com/introduction/oauth/index.html,"You can now access the Copper Developer API via OAuth2.0. This authentication method is an alternative to Copper's legacy API Keys, and is particularly well-suited for third-party integrations looking to create a seamless and secure link between their users and Copper.

OAuth2.0 offers several advantages over the API Key flow: [...] Authentication is open to all users, not just administrators
 No need to generate and copy API keys from Copper to your application
 Readily available client libraries help with smooth integration

## 2. Prerequisites¶

To use OAuth2.0 with Copper, you must first register your application. This step protects requests from forgery and keeps your users secure. [...] Follow our quickstart guide to get up and running quickly.

## 5. Documentation¶

The detailed Copper authorization flow documentation can be found here.

## 6. Access Token Management¶

Active OAuth2.0 connections are shown in the Copper user interface, under Settings ➡ Integrations ➡ Active Inte"
DealCloud,CRM and Sales,https://api.docs.dealcloud.com,https://api.docs.dealcloud.com/mcp/authentication,"🚀 New: DealCloud MCP Server — client preview starting July 2026

# Authentication

## OAuth

DealCloud MCP uses OAuth to authenticate, letting AI assistants connect on behalf of an individual user. The user signs in through DealCloud to authorize the assistant, and the MCP server then responds in the context of that signed-in user. This keeps access scoped to each user's permissions and attributable for auditing.

## User Data Access Permissions [...] The MCP layer applies the DealCloud user permission model. A user can access only the data they are permissioned for, the same as through the web portal or the API. If a user lacks access to specific objects, fields, or records, those restrictions apply to their MCP connection as well.

Getting StartedAvailable Tools"
